k_neigh,RMSE,MedianAE,MeanAE,R2,MeanBias,MedianBias,NMB,NME
40,7.450396831265939,3.9481688756312447,5.2059467173345935,0.6938620626449687,-0.48905247921994427,0.004596500893802258,-0.025466018451058708,0.27108488514429496
50,7.531168691721715,3.9638941313666907,5.233192245999952,0.6871882251797967,-0.5128117440243212,-0.021899223092090914,-0.026703214665372836,0.27250361864464967
70,7.650518916278287,3.984138799029364,5.275834453955108,0.6771950929859964,-0.5486978872166458,-0.015407253149946065,-0.028571883619123443,0.2747240904768587
100,7.795648832468012,4.013958668376482,5.328181601878887,0.6648317467227038,-0.5889978880352145,-0.009297839483450865,-0.030670391668934992,0.2774499194860758
9,7.705301568100926,4.038032672229786,5.286212414021081,0.6911384616730398,-0.37462603953356294,-0.06851456696982439,-0.01934334311465085,0.2729469116152446
10,7.6854443158885735,4.019624959201501,5.26613771109897,0.6927283380935028,-0.38489693745806064,-0.05813443241453342,-0.01987366797646899,0.2719103796458424
11,7.677939935879194,3.9930361854926524,5.249924481494522,0.6933341096887815,-0.3938293113519036,-0.04514368225193044,-0.020335803236561725,0.2710855393063544
12,7.669442424157349,3.9749367071106985,5.234641257540587,0.6940125351490758,-0.40003749022885776,-0.03133119797733741,-0.020656369279921333,0.2702963734769227
13,7.66746193336905,3.9639148902149426,5.226439359599524,0.694170545882362,-0.407489442378231,-0.018283814978472535,-0.02104115890392806,0.2698728595893371
14,7.664268621580509,3.950406028440765,5.218597618078152,0.6944252339245517,-0.4156609071468335,-0.01503242393450055,-0.02146310134167697,0.26946794276873987
15,7.6720899225036785,3.949297683047777,5.213547316500879,0.6938012443964432,-0.4228894608913265,0.0030238655125511826,-0.021836355546978038,0.26920716497440006
16,7.671703250014252,3.9522190828723502,5.209925232013216,0.6938321083859547,-0.4324013006651146,0.0008326922655550462,-0.02232750970052101,0.2690201347170673
17,7.674493329951156,3.9485187818992955,5.207347069723358,0.6936093708270255,-0.43993901791679657,5.1973196642851605e-05,-0.022716727898518658,0.2688870085135897
18,7.685051853975841,3.946069729081459,5.2048716460859215,0.6927657299377302,-0.4468348565505301,0.0026351175683654304,-0.02307280199855278,0.2687591873317553
19,7.692010426708748,3.938442953319277,5.203827015741798,0.6922090961085894,-0.4528895865030137,-0.0005007548272120133,-0.023385444540423416,0.2687052467119977
20,7.698087134303332,3.943574152377024,5.202678131799844,0.6917225928377592,-0.4591429149853691,-0.006743809303243253,-0.02370834193258105,0.26864592284474914
21,7.709806942411727,3.941163250267432,5.203166275561616,0.6907832160215452,-0.4658469052707929,-0.002278163198349503,-0.024054509735267484,0.2686711286768302
22,7.721540727880726,3.9452767818285848,5.203729639038976,0.6898412872728272,-0.47096513305442955,0.0010461175496372377,-0.02431879497287626,0.26870021856043214
23,7.732103070465892,3.9392446821475726,5.204389400788038,0.6889921709301001,-0.4760195292944814,0.0019212725839672373,-0.024579784199565555,0.26873428607324856
24,7.741614939439157,3.932709142027713,5.204534938103872,0.6882265098180781,-0.48151153775768,0.00630446390266215,-0.024863370007584158,0.2687418010502527
25,7.751406264541364,3.931592604741204,5.205511141616783,0.6874373705794472,-0.4856963319127834,0.0012602769354641552,-0.02507945638833517,0.2687922083764348
30,7.786074726757217,3.9522631489804194,5.212494410810024,0.6846352214731986,-0.5058932043834286,0.007044982176624082,-0.026122343783250207,0.269152797048147
40,7.882296788499556,3.9546270582300673,5.23384401497561,0.6767923595095208,-0.5408285913900364,0.007543904882500563,-0.027926270346564596,0.2702552069932054
50,7.948571307657942,3.9632608380464056,5.255885425842768,0.6713344369626513,-0.5662705163880586,0.016880548254695427,-0.029239991712155987,0.2713933391269262
70,8.075122902557293,3.9753681068836344,5.296108376079133,0.660785557647292,-0.6067582769993803,0.014884179797802766,-0.03133062110298148,0.27347029474709805
100,8.217387048941559,3.9988526917528717,5.342622916485863,0.6487279954793741,-0.6496888750582398,-0.007946771447670642,-0.0335473890524163,0.2758721234431473
9,7.543172777108117,3.9800024636430162,5.227697638181222,0.7191719748359758,-0.36591076659742444,0.06356763144961697,-0.018822632284225857,0.26891537314303704
10,7.520003906226516,3.9657857156511582,5.206953731019131,0.7208944531966157,-0.3789574504686748,0.06018594916252695,-0.019493760207901483,0.26784829621529055
11,7.496370632637363,3.959067880122063,5.188541181641688,0.7226459982375707,-0.38634377376634227,0.06867809628227128,-0.01987371636130258,0.2669011454944481
12,7.485863657985855,3.951533344285882,5.175812244588418,0.7234229366680207,-0.3958392861508934,0.06803120889116343,-0.020362170253017002,0.26624636262552426
13,7.477046484984364,3.941690175453937,5.165245466397329,0.7240740817506714,-0.40548621799218865,0.07442370088616634,-0.02085841323708712,0.26570280228656695
14,7.474410412739366,3.9446300087800696,5.157701403555271,0.7242686057351919,-0.4146923091217156,0.07968410132562642,-0.021331979155131846,0.26531473193235033
15,7.475484528700445,3.937202561327401,5.152769229503317,0.7241893516520778,-0.4222099986323201,0.0778600707321484,-0.02171869285202826,0.2650610184398368
16,7.473322950148397,3.9337995575627698,5.146544632023138,0.724348833003227,-0.43055471508114584,0.0710138231893982,-0.022147949226999007,0.2647408220417471
17,7.471187769103819,3.9328070218349334,5.142737711923942,0.7245063214650551,-0.4372452132193614,0.06557041637311567,-0.022492111787245507,0.2645449921736377
18,7.474111305051484,3.9295404653161388,5.1403374156232635,0.7242906734903911,-0.4435493832475792,0.0719032484005977,-0.02281640143688277,0.2644215197350948
19,7.4782777376785825,3.9204933886447986,5.138647097737569,0.7239832002767785,-0.44995214909660536,0.06699870324009538,-0.023145762904704274,0.2643345689402283
20,7.4813205970865475,3.9140418383260513,5.136786349538532,0.723758535931323,-0.45514632820265255,0.06734565421206362,-0.023412954067841323,0.2642388511250634
21,7.485085985485555,3.908355096393574,5.135799409225186,0.7234803983622269,-0.46055749529210743,0.0663803672262997,-0.02369130720103943,0.2641880824232366
22,7.487987429013193,3.912688862196088,5.135771610975755,0.7232659822529361,-0.46612993662431124,0.056486649455549376,-0.023977956361699113,0.2641866524674251
23,7.48982899365807,3.904542029209443,5.1355844291484765,0.7231298478762943,-0.4705785139836962,0.052033847427331636,-0.02420679339921586,0.26417702374089735
