loss,params
"[10.203721530467979, 24.85927865687002, 10.231878559319671, 10.125095199530259, 12.005594902175126]","{'max_depth': 27.0, 'max_features': 'auto', 'min_samples_leaf': 2.0, 'min_samples_split': 13.0, 'n_estimators': 40.0}"
"[10.472239036027435, 24.997165389596308, 10.4468256969715, 10.35581909266128, 12.192625696215638]","{'max_depth': 15.0, 'max_features': 'auto', 'min_samples_leaf': 4.0, 'min_samples_split': 15.0, 'n_estimators': 30.0}"
"[10.118947329051666, 24.82924864479911, 10.194612329085201, 10.329501475632823, 11.940817397885258]","{'max_depth': 27.0, 'max_features': 'auto', 'min_samples_leaf': 1.0, 'min_samples_split': 10.0, 'n_estimators': 40.0}"
"[10.287151603477662, 24.8399464020098, 10.27165556787189, 10.178550864219648, 12.044033779765211]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 3.0, 'min_samples_split': 11.0, 'n_estimators': 30.0}"
"[10.161952702341205, 24.798032396832554, 10.168172814473055, 10.119851699454252, 11.736851479743997]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2.0, 'min_samples_split': 12.0, 'n_estimators': 50.0}"
"[10.323359160989249, 24.81551199328609, 10.338701094189709, 10.250631395555589, 12.21610898802707]","{'max_depth': 12.0, 'max_features': 'auto', 'min_samples_leaf': 2.0, 'min_samples_split': 9.0, 'n_estimators': 60.0}"
"[10.278960363010057, 24.9231895779222, 10.318942047220679, 10.177604987612016, 12.062215804064754]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 5.0, 'min_samples_split': 7.0, 'n_estimators': 50.0}"
"[10.408051763115735, 24.96690755667151, 10.497062118435796, 10.305092566799525, 12.179865783441699]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 7.0, 'min_samples_split': 12.0, 'n_estimators': 70.0}"
"[10.194334897404413, 24.889350246632244, 10.258120204911418, 10.119702756195917, 11.999963167940757]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 3.0, 'min_samples_split': 14.0, 'n_estimators': 60.0}"
"[11.16604151976768, 25.304939939593986, 11.30477637487746, 11.145490124303242, 12.888613375749323]","{'max_depth': 30.0, 'max_features': 'log2', 'min_samples_leaf': 6.0, 'min_samples_split': 8.0, 'n_estimators': 50.0}"
"[10.052289016637397, 24.80364666866149, 10.05972667493468, 10.032912788680681, 11.990886937093032]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1.0, 'min_samples_split': 4.0, 'n_estimators': 50.0}"
"[9.92592652853093, 24.5939363844841, 9.981732578199681, 10.025107124520046, 12.030370839272354]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1.0, 'min_samples_split': 2.0, 'n_estimators': 60.0}"
"[10.499391091316951, 25.028153673353987, 10.573692544278504, 10.49802093839975, 12.388486147491026]","{'max_depth': 8.0, 'max_features': 'auto', 'min_samples_leaf': 1.0, 'min_samples_split': 2.0, 'n_estimators': 70.0}"
"[10.766307482698716, 25.113798446077386, 10.928994761706551, 10.701918929745844, 12.551971969105715]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4.0, 'min_samples_split': 4.0, 'n_estimators': 60.0}"
